
============================================================
[AUTO-GA] Starting: exp_same_equal_v2
Command: C:\Users\perve\AppData\Local\Programs\Python\Python313\python.exe C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\ga_experiment.py --runs 10 --total-time 5100.0 --time-buffer 0 --population-size 50 --mutation-rate 0.30 --stagnation-limit 20 --min-runtime-before-stop 0 --max-instance-time 300.0 --clean-output --experiment-name exp_same_equal_v2 --profile single --time-profile equal
============================================================
Run 5 | spain_iptv.json | time=300.0s | left=4868.5s
Run 5 | toy.json | time=300.0s | left=4858.5s
Run 5 | uk_iptv.json | time=300.0s | left=4857.2s
Run 5 | uk_tv_input.json | time=300.0s | left=4835.7s
Run 5 | usa_tv_input.json | time=300.0s | left=4825.4s
Run 5 | us_iptv.json | time=300.0s | left=4785.6s
Run 5 | youtube_gold.json | time=300.0s | left=4482.5s
Run 5 | youtube_premium.json | time=300.0s | left=4431.9s
Run 6 | australia_iptv.json | time=300.0s | left=5100.0s
Run 6 | canada_pw.json | time=300.0s | left=5092.8s
Run 6 | china_pw.json | time=300.0s | left=5086.0s
Run 6 | croatia_tv_input.json | time=300.0s | left=5044.4s
Run 6 | france_iptv.json | time=300.0s | left=5028.4s
Run 6 | germany_tv_input.json | time=300.0s | left=4763.8s
Run 6 | kosovo_tv_input.json | time=300.0s | left=4758.2s
Run 6 | netherlands_tv_input.json | time=300.0s | left=4751.4s
Run 6 | singapore_pw.json | time=300.0s | left=4743.6s
Run 6 | spain_iptv.json | time=300.0s | left=4706.0s
Run 6 | toy.json | time=300.0s | left=4696.4s
Run 6 | uk_iptv.json | time=300.0s | left=4694.9s
Run 6 | uk_tv_input.json | time=300.0s | left=4680.8s
Run 6 | usa_tv_input.json | time=300.0s | left=4670.4s
Run 6 | us_iptv.json | time=300.0s | left=4633.8s
Run 6 | youtube_gold.json | time=300.0s | left=4331.5s
Run 6 | youtube_premium.json | time=300.0s | left=4299.7s
Run 7 | australia_iptv.json | time=300.0s | left=5100.0s
Run 7 | canada_pw.json | time=300.0s | left=5097.2s
Run 7 | china_pw.json | time=300.0s | left=5094.5s
Run 7 | croatia_tv_input.json | time=300.0s | left=5079.0s
Run 7 | france_iptv.json | time=300.0s | left=5071.6s
Run 7 | germany_tv_input.json | time=300.0s | left=4926.6s
Run 7 | kosovo_tv_input.json | time=300.0s | left=4921.2s
Run 7 | netherlands_tv_input.json | time=300.0s | left=4915.0s
Run 7 | singapore_pw.json | time=300.0s | left=4908.0s
Run 7 | spain_iptv.json | time=300.0s | left=4887.0s
Run 7 | toy.json | time=300.0s | left=4871.9s
Run 7 | uk_iptv.json | time=300.0s | left=4870.8s
Run 7 | uk_tv_input.json | time=300.0s | left=4847.4s
Run 7 | usa_tv_input.json | time=300.0s | left=4836.0s
Run 7 | us_iptv.json | time=300.0s | left=4793.3s
Run 7 | youtube_gold.json | time=300.0s | left=4584.8s
